Recipe ID	MakeItem Total	MakeItem TID	MakeItem Name	MakeItem Count	MakeItem IsFail	BonusItem TID	BonusItem Name	Item Option Min	Item Option Max	Socket Inchant Min	Socket Inchant Max	Combine Use Price	timer(msec)	Resource TotalCount	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count	Resource TID	Resource Name	Resource Count
1	1	10302	Mercoon <Rank 2>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10301	Mercoon <Rank 1>	1																								
2	1	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10302	Mercoon <Rank 2>	1																								
3	2	10304	Mercoon <Rank 4>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10303	Mercoon <Rank 3>	1																								
3	2	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10303	Mercoon <Rank 3>	1																								
4	10	10305	Mercoon <Rank 5>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10304	Mercoon <Rank 4>	1																								
4	10	10305	Mercoon <Rank 5>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10304	Mercoon <Rank 4>	1																								
4	10	10305	Mercoon <Rank 5>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10304	Mercoon <Rank 4>	1																								
4	10	10305	Mercoon <Rank 5>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10304	Mercoon <Rank 4>	1																								
4	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10304	Mercoon <Rank 4>	1																								
4	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10304	Mercoon <Rank 4>	1																								
4	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10304	Mercoon <Rank 4>	1																								
4	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10304	Mercoon <Rank 4>	1																								
4	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10304	Mercoon <Rank 4>	1																								
4	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10304	Mercoon <Rank 4>	1																								
5	10	10306	Mercoon <Rank 6>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10305	Mercoon <Rank 5>	1																								
5	10	10306	Mercoon <Rank 6>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10305	Mercoon <Rank 5>	1																								
5	10	10306	Mercoon <Rank 6>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10305	Mercoon <Rank 5>	1																								
5	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10305	Mercoon <Rank 5>	1																								
5	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10305	Mercoon <Rank 5>	1																								
5	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10305	Mercoon <Rank 5>	1																								
5	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10305	Mercoon <Rank 5>	1																								
5	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10305	Mercoon <Rank 5>	1																								
5	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10305	Mercoon <Rank 5>	1																								
5	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10305	Mercoon <Rank 5>	1																								
6	10	10307	Mercoon <Rank 7>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10306	Mercoon <Rank 6>	1																								
6	10	10307	Mercoon <Rank 7>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10306	Mercoon <Rank 6>	1																								
6	10	10303	Mercoon <Rank 3>	1	0			0	0	0	0	0		2	9001	Pet Reinforcement Manual	1	10306	Mercoon <Rank 6>	1																								
